time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-1.0654027492884225e-08,-1.0654003665205281e-08,1.557340764376161e-06,0.0,0.0,0.02,-4.476695533502752e-07,4.4767055176590664e-07,2.0136373135925627e-13,1.1005390417218845,-1.1005801168214058,1.1005390416299163,-1.1004979665275476
0.02,-3.371889754996218e-07,-3.371881883858403e-07,3.1275574632145233e-06,0.0,0.0,0.04,-1.4169001681668272e-05,1.4169034738579747e-05,1.0098577527752862e-10,2.0918300919402406,-2.09306298261537,2.09183008906287,-2.0905971969598003
0.03,-1.8200579423134812e-06,-1.8200537062391906e-06,4.721472285945655e-06,0.0,0.0,0.06,-7.649871962111335e-05,7.649889738664978e-05,2.9274498844109263e-09,2.9868504925212154,-2.9931806526346088,2.9868504778174327,-2.9805202763098984
0.04,-5.6104356468462524e-06,-5.610422781757555e-06,6.347208589022786e-06,0.0,0.0,0.08,-0.00023595753492576936,0.00023595806934904965,2.7837346031127165e-08,3.797052940197492,-3.815663554192778,3.7970528982080984,-3.7784418905927404
0.05,-1.2924475270568908e-05,-1.2924446488229364e-05,8.0103003154117e-06,0.0,0.0,0.1,-0.0005442402569141516,0.0005442413883010645,1.4807768541828454e-07,4.53254473279136,-4.57351166115001,4.532544649311869,-4.491575627134744
0.06,-2.480342142870956e-05,-2.480336861151606e-05,9.714274249894359e-06,0.0,0.0,0.12,-0.0010467230230330597,0.0010467246790384593,5.476975125937909e-07,5.202246040460748,-5.277481228337854,5.202245932642886,-5.127003000322953
0.07,-4.1874509062841976e-05,-4.1874424377203076e-05,1.1461155212470876e-05,0.0,0.0,0.14,-0.0017732948812507123,0.0017732956816775328,1.5718479791569307e-06,5.814056815126718,-5.935735917963809,5.814056813246895,-5.6923554844793784
0.08,-6.4149616307963e-05,-6.414948908743696e-05,1.3251862989427807e-05,0.0,0.0,0.16,-0.0027308946980253673,0.002730889935537602,3.7275882808571587e-06,6.3749260239369425,-6.55366655892418,6.374926527060255,-6.196133283974728
0.09,-9.095019672410166e-05,-9.094999804802079e-05,1.5086521594738523e-05,0.0,0.0,0.18,-0.003901053397938251,0.003901032227643433,7.605867589830538e-06,6.890890271104778,-7.134120114238299,6.890892143031846,-6.647554752930604
0.1,-0.00012087749441866164,-0.00012087713458987001,1.696471356012698e-05,0.0,0.0,0.2,-0.005239822031943441,0.00523976556066245,1.3720831124157509e-05,7.367428621079646,-7.678008378351661,7.367433262397407,-7.0566594925732975
0.11,-0.0001519479976327762,-0.00015194724593204677,1.8885660748849094e-05,0.0,0.0,0.22000000000000003,-0.006683510011277033,0.006683393022652441,2.232100703315901e-05,7.809313571651092,-8.184947868759775,7.809322667602486,-7.433372751454352
0.12,-0.0001818225274003821,-0.00018182090294781295,2.084837137098271e-05,0.0,0.0,0.24,-0.008158119443586926,0.00815791770957322,3.325338523269562e-05,8.220759611239977,-8.654225917732882,8.220774450064559,-7.786837940704464
0.13,-0.00020807419449304338,-0.00020807086507769766,2.2851747642896823e-05,0.0,0.0,0.26,-0.009589842477259398,0.009589544683688138,4.594337868928223e-05,8.605501674329288,-9.085617067622772,8.60552219952588,-8.124757166857725
0.14,-0.00022847300610027947,-0.00022846674351039564,2.48946597612825e-05,0.0,0.0,0.28,-0.010916357093012747,0.010915977064932128,5.952401112665914e-05,8.966806547561927,-9.480155569641406,8.966830607107747,-8.452639915510938
0.15,-0.0002412297399135183,-0.0002412190143750818,2.6976005939631112e-05,0.0,0.0,0.3,-0.012095568236950587,0.01209514977772292,7.306646506117755e-05,9.307560561115352,-9.840482807420587,9.307583921921372,-8.773628515800171
0.16,-0.0002451484367266099,-0.00024513168173162655,2.9094751392966405e-05,0.0,0.0,0.32,-0.013110763099098012,0.013110372521824001,8.583065209597587e-05,9.63031938502789,-10.17084994177398,9.630336793497559,-9.088592591330826
0.17,-0.00023963664990259297,-0.00023961265394243904,3.124994472914235e-05,0.0,0.0,0.34,-0.01397019046944386,0.013969897900012872,9.74327362013097e-05,9.937339761078219,-10.47670926879977,9.937346713006633,-9.396599506395194
0.18,-0.00022458140902444283,-0.00022454970676237936,3.3440718181843875e-05,0.0,0.0,0.36,-0.01470146437033819,0.01470132135275048,0.00010787720073374413,10.230609860628363,-10.764017694497289,10.23060427858625,-9.695671061098947
0.19,-0.00020015427215589612,-0.00020011539462889226,3.566628649242169e-05,0.0,0.0,0.38,-0.015343344252732476,0.015343366655438869,0.00011747724303481177,10.511884375214354,-11.038472234376368,10.511867478085183,-9.983618490706657
0.2,-0.00016658270221616241,-0.00016653818872639143,3.792594683704629e-05,0.0,0.0,0.4,-0.015936472291882463,0.015936635105639325,0.00012670779725229182,10.782713773293338,-11.304827131831008,10.782689795072983,-10.258784788282167
0.21,-0.00012392656831575544,-0.00012387872555445135,4.021908072682482e-05,0.0,0.0,0.42000000000000004,-0.01651456781915626,0.01651481376327115,0.0001360384067624313,11.044467616748546,-11.566390680178925,11.044442443866137,-10.52059579736414
0.22,-7.191463671550616e-05,-7.186611766549077e-05,4.2545158655256725e-05,0.0,0.0,0.44000000000000006,-0.01709822861578663,0.017098487513415625,0.00014579480804216964,11.29835418202786,-11.824861504641854,11.29833343106016,-10.76976456986045
