metric,value
generated_at,2026-05-11T16:36:25
raw_file,results/robustness/rotor2_loss15_example1/robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock/raw/robust_rotor2_loss15_example1_l1_multi_fault_isolation_sysblock.csv
scene_id,robust_rotor2_loss15_example1
controller_id,l1_multi_fault_isolation_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.26894706171036703
x_rmse_m,0.11707076108509519
y_rmse_m,0.11829170189470126
z_rmse_m,0.2112676789394248
max_position_error_m,1.2546444159158434
steady_state_error_m,0.14713153748597946
settling_time_s,8.01
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.11091567582010715
disturbance_recovery_time_s,4.91
overshoot_x_pct,4.633691812292913
overshoot_y_pct,4.679605871645869
overshoot_z_pct,1.940646238053283
overshoot_max_pct,4.679605871645869
roll_rmse_rad,0.029019871860967907
pitch_rmse_rad,0.02851626064799099
yaw_rmse_rad,0.01779969253476005
max_tilt_rad,0.2063773928619035
minimum_altitude_m,0.0
altitude_violation_count,62
tilt_violation_count,0
constraint_violation_count,62
constraint_violation_rate_hz,1.24
altitude_violation_rate_hz,1.24
tilt_violation_rate_hz,0.0
control_energy,41602.04406131066
control_energy_per_second,832.0408812262133
control_smoothness,14147.120902300654
control_smoothness_per_second,282.9424180460131
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.01843187478981
robustness_score,53.76923076923077
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,50.947837254744634
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_multi_fault_isolation_rotor_loss_ablation
