metric,value
generated_at,2026-05-14T01:36:10
raw_file,results/robustness/rotor2_loss15_wind_gust_example1/robust_rotor2_loss15_wind_gust_example1_awff_sysblock/raw/robust_rotor2_loss15_wind_gust_example1_awff_sysblock.csv
scene_id,robust_rotor2_loss15_wind_gust_example1
controller_id,awff_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.37468070425383554
x_rmse_m,0.2235734098188371
y_rmse_m,0.2062399652950179
z_rmse_m,0.21878216855410948
max_position_error_m,1.3270838629807935
steady_state_error_m,0.3099467568674773
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.3644199336639787
disturbance_recovery_time_s,nan
overshoot_x_pct,6.628866783931767
overshoot_y_pct,6.647342439317382
overshoot_z_pct,1.9622557989668248
overshoot_max_pct,6.647342439317382
roll_rmse_rad,0.025511768811779825
pitch_rmse_rad,0.027122417230409566
yaw_rmse_rad,0.004822132310506305
max_tilt_rad,0.222781951954986
minimum_altitude_m,-8.081278785525194e-05
altitude_violation_count,65
tilt_violation_count,0
constraint_violation_count,65
constraint_violation_rate_hz,1.3
altitude_violation_rate_hz,1.3
tilt_violation_rate_hz,0.0
control_energy,41467.52889244893
control_energy_per_second,829.3505778489786
control_smoothness,12073.934837861138
control_smoothness_per_second,241.47869675722276
control_command_min,-20.0
control_command_max,19.992659060907943
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,84.37245470530075
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,35.811736411590225
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_rotor_loss_wind_gust_boundary
