time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.01,2.6782238283916142e-11,2.892623855169912e-11,-6.747184557424118e-06,0.0,0.0,0.02,-5.900437044468137e-08,5.463098933614393e-08,3.38229658963272e-15,1.1109293379542053,-1.1109340760302113,1.110928906263141,-1.1109241681870716,1.0,1.0,1.0,1.0,0.0
0.02,8.516559969267735e-10,9.19825158276012e-10,-1.3419431340558582e-05,0.0,0.0,0.04,-1.8715335396030335e-06,1.7328323308895103e-06,1.6864416132120558e-12,2.115824390771303,-2.11596843449866,2.1158123304665937,-2.1156682867074332,1.0,1.0,1.0,1.0,0.0
0.03,4.672475086111639e-09,5.046243657192303e-09,-1.9860079730963507e-05,0.0,0.0,0.06,-1.0148029145584179e-05,9.396382639209647e-06,4.916591611255984e-11,3.0271267635191705,-3.027876983686402,3.0270692239027057,-3.026319002818872,1.0,1.0,1.0,1.0,0.0
0.04,1.4994363365225792e-08,1.6191154544945415e-08,-2.6015155972438318e-05,0.0,0.0,0.08,-3.160750602055312e-05,2.9271376074441823e-05,4.766090481482373e-10,3.8558298155486113,-3.8580789319578295,3.8556720987059205,-3.853422973510765,1.0,1.0,1.0,1.0,0.0
0.05,3.724491296912892e-08,4.020239501460482e-08,-3.1846944401466656e-05,0.0,0.0,0.1,-7.415428887384533e-05,6.870181305405684e-05,2.622594978807844e-09,4.611641016557767,-4.616728207198641,4.611315018862964,-4.60622778039664,1.0,1.0,1.0,1.0,0.0
0.06,8.047644611987449e-08,8.680857230658093e-08,-3.733042851405118e-05,0.0,0.0,0.12,-0.00014631111881548817,0.0001356597996909539,1.0208588342241674e-08,5.303132355017153,-5.312822990806383,5.302563438370404,-5.292872618347749,1.0,1.0,1.0,1.0,0.0
0.07,1.60248337340527e-07,1.726854761921576e-07,-4.2450235881247554e-05,0.0,0.0,0.14,-0.0002567015801194083,0.00023832281279239896,3.1425646665111856e-08,5.937874782188507,-5.954310037279367,5.936984829863119,-5.92054901332153,1.0,1.0,1.0,1.0,0.0
0.08,3.0302907085822235e-07,3.26116558783416e-07,-4.7198179875144115e-05,0.0,0.0,0.16,-0.00041362417955317286,0.0003847567521969428,8.161247796696936e-08,6.522590084127946,-6.548215914415667,6.521294726597021,-6.495667452737979,1.0,1.0,1.0,1.0,0.0
0.09,5.519188694553744e-07,5.929953421995971e-07,-5.157135438530379e-05,0.0,0.0,0.18,-0.0006246048647897358,0.0005825850761337781,1.8619798969664436e-07,7.063229505682598,-7.100709049373167,7.061428994680858,-7.023946189875849,1.0,1.0,1.0,1.0,0.0
