time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.01,-2.641317668898589e-11,2.8527611689055178e-11,-6.747340961824534e-06,0.0,0.0,0.02,-5.819130981961112e-08,-5.387823509466063e-08,-3.2499784551953538e-15,1.1032709197724166,-1.1032765473619526,1.1032817578408933,-1.1032761302514034,1.0,1.0,1.0,1.0,0.0
0.02,-8.399332970203633e-10,9.071287260537812e-10,-1.3421281806352965e-05,0.0,0.0,0.04,-1.845766690435826e-06,-1.709041921622503e-06,-1.6201191061947363e-12,2.101178963844439,-2.1013478912719856,2.101504305724708,-2.1013353783200692,1.0,1.0,1.0,1.0,0.0
0.03,-4.607678372912486e-09,4.975227587132272e-09,-1.9866322870831876e-05,0.0,0.0,0.06,-1.0007141167836312e-05,-9.26787485109973e-06,-4.7781101141572244e-11,3.0056915358272516,-3.0065609824747956,3.0073662122466227,-3.006496766274703,1.0,1.0,1.0,1.0,0.0
0.04,-1.4781534524794431e-08,1.5952624019211157e-08,-2.602918140569065e-05,0.0,0.0,0.08,-3.115971954125866e-05,-2.8872813936189858e-05,-4.634136428768088e-10,3.8272519944942096,-3.82982961019254,3.8322181916335376,-3.829640582487876,1.0,1.0,1.0,1.0,0.0
0.05,-3.669293059761809e-08,3.956487224415094e-08,-3.187260089307698e-05,0.0,0.0,0.1,-7.306937008319685e-05,-6.777167092337125e-05,-2.5490408784825424e-09,4.575025432745731,-4.580793897090912,4.5861450204586625,-4.58037659215692,1.0,1.0,1.0,1.0,0.0
0.06,-7.920864559398437e-08,8.529570761988883e-08,-3.7371841947754664e-05,0.0,0.0,0.12,-0.00014407711866419728,-0.00013383735080686084,-9.915832070244623e-09,5.2570890497997125,-5.267965698273473,5.278073030631639,-5.267196522367742,1.0,1.0,1.0,1.0,0.0
0.07,-1.576025232294608e-07,1.6941794298547423e-07,-4.2511670757311375e-05,0.0,0.0,0.14,-0.00025259000973644865,-0.00023516865185258486,-3.050295653812996e-08,5.880601012129187,-5.898867083101402,5.915885292173211,-5.8976196525128,1.0,1.0,1.0,1.0,0.0
0.08,-2.980344519883602e-07,3.196888482284707e-07,-4.728392414037046e-05,0.0,0.0,0.16,-0.00040665636288500626,-0.0003797898413461282,-7.915982289196539e-08,6.451967879724239,-6.480178164357687,6.5065567738796215,-6.47834760856607,1.0,1.0,1.0,1.0,0.0
0.09,-5.424149383654921e-07,5.803680337684034e-07,-5.1685681972256706e-05,0.0,0.0,0.18,-0.0006134147682882695,-0.0005752123432794444,-1.8040251374364263e-07,6.976843688685313,-7.017720974360158,7.056127055308066,-7.015252320524764,1.0,1.0,1.0,1.0,0.0
