metric,value
generated_at,2026-05-14T01:33:11
raw_file,results/robustness/rotor3_loss15_wind_gust_example1/robust_rotor3_loss15_wind_gust_example1_linear_mpc_online_fault_allocation_sysblock/raw/robust_rotor3_loss15_wind_gust_example1_linear_mpc_online_fault_allocation_sysblock.csv
scene_id,robust_rotor3_loss15_wind_gust_example1
controller_id,linear_mpc_online_fault_allocation_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.2669366889904508
x_rmse_m,0.11909461364159443
y_rmse_m,0.11290563673828066
z_rmse_m,0.2105326248434362
max_position_error_m,1.2466889547693871
steady_state_error_m,0.13961593763185257
settling_time_s,7.930000000000001
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.10264785672589159
disturbance_recovery_time_s,4.440000000000001
overshoot_x_pct,3.596166372172931
overshoot_y_pct,4.560254320809403
overshoot_z_pct,1.9313258699611897
overshoot_max_pct,4.560254320809403
roll_rmse_rad,0.02986134322255905
pitch_rmse_rad,0.03156194574967925
yaw_rmse_rad,0.05496475443174303
max_tilt_rad,0.2711099968887662
minimum_altitude_m,-7.64108615675189e-05
altitude_violation_count,61
tilt_violation_count,0
constraint_violation_count,61
constraint_violation_rate_hz,1.22
altitude_violation_rate_hz,1.22
tilt_violation_rate_hz,0.0
control_energy,41489.90681517868
control_energy_per_second,829.7981363035735
control_smoothness,13106.461597447018
control_smoothness_per_second,262.12923194894034
control_command_min,-20.0
control_command_max,20.0
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.2309115240599
robustness_score,54.38461538461537
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,51.165427303371814
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_linear_mpc_online_fault_allocation_rotor_loss_wind_gust
