time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4,eta_hat1,eta_hat2,eta_hat3,eta_hat4,fault_index
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
0.01,1.0673303622107709e-08,1.0673280937143825e-08,1.5573448022863183e-06,0.0,0.0,0.02,4.484795672488748e-07,-4.4848051420000503e-07,-2.624097635503468e-13,1.1028182395040753,-1.1027770944222752,1.1028182395916877,-1.1028593846771984,1.0,1.0,1.0,1.0,0.0
0.02,3.3861521081617213e-07,3.38614422748148e-07,3.127672803160237e-06,0.0,0.0,0.04,1.4228937062540811e-05,-1.4228970159857059e-05,1.0039202915412961e-10,2.100472667906783,-2.0992348416011697,2.1004726707884607,-2.101710495674531,1.0,1.0,1.0,1.0,0.0
0.03,1.8321983979706509e-06,1.8321941375420537e-06,4.722086741556274e-06,0.0,0.0,0.06,7.70091589715024e-05,-7.70093378270502e-05,2.9617686707757083e-09,3.0052985871786864,-2.99892805147167,3.0052986019704697,-3.0116690957980765,1.0,1.0,1.0,1.0,0.0
0.04,5.660909213692553e-06,5.660896240123342e-06,6.349086542948558e-06,0.0,0.0,0.08,0.00023808247106832218,-0.0002380830099775549,2.833433201165981e-08,3.828189994573689,-3.8094176777956386,3.828190036901075,-3.8469619530316703,1.0,1.0,1.0,1.0,0.0
0.05,1.306868120401766e-05,1.3068652121511617e-05,8.014628860424734e-06,0.0,0.0,0.1,0.0005503277699961726,-0.0005503289114340796,1.5140104993502708e-07,4.578768666338275,-4.537355848046717,4.578768750492506,-4.620179427973218,1.0,1.0,1.0,1.0,0.0
0.06,2.5128259229906405e-05,2.5128205784670036e-05,9.722677323217076e-06,0.0,0.0,0.12,0.0010605023650261268,-0.0010605040248128001,5.622047056211386e-07,5.265533499224425,-5.189327073357133,5.265533606822209,-5.341732083114963,1.0,1.0,1.0,1.0,0.0
0.07,4.2492290452709504e-05,4.2492204652909066e-05,1.147568635817167e-05,0.0,0.0,0.14,0.001799705705414099,-0.0017997064271109595,1.6190088936594268e-06,5.8960123045086075,-5.772541949471537,5.896012298446345,-6.019459760697658,1.0,1.0,1.0,1.0,0.0
0.08,6.517504624654588e-05,6.51749168531543e-05,1.3274988026031734e-05,0.0,0.0,0.16,0.0027753559009472918,-0.0027753507269614617,3.8499359379845585e-06,6.476873118156007,-6.295249684781496,6.476872579260288,-6.658441574540635,1.0,1.0,1.0,1.0,0.0
0.09,9.24626362283051e-05,9.246243165358143e-05,1.5121080712126735e-05,0.0,0.0,0.18,0.003968155351652055,-0.00396813287828033,7.869741430057203e-06,7.013887713661864,-6.766513594167193,7.01388573512475,-7.261148576475601,1.0,1.0,1.0,1.0,0.0
