metric,value
generated_at,2026-05-12T21:52:22
raw_file,results/robustness/rotor4_loss15_example1/robust_rotor4_loss15_example1_pid_baseline/raw/robust_rotor4_loss15_example1_pid_baseline.csv
scene_id,robust_rotor4_loss15_example1
controller_id,pid_baseline
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.3919656459236558
x_rmse_m,0.22722687214288345
y_rmse_m,0.22689746246131767
z_rmse_m,0.22477223513842845
max_position_error_m,1.401969459361575
steady_state_error_m,0.2870841810514351
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.28284189270128707
disturbance_recovery_time_s,nan
overshoot_x_pct,2.9274710322498976
overshoot_y_pct,3.022002539911579
overshoot_z_pct,1.7113342733907544
overshoot_max_pct,3.022002539911579
roll_rmse_rad,0.02328456725153709
pitch_rmse_rad,0.023243373825137924
yaw_rmse_rad,0.0007619152966539985
max_tilt_rad,0.22921927242890097
minimum_altitude_m,0.0
altitude_violation_count,67
tilt_violation_count,0
constraint_violation_count,67
constraint_violation_rate_hz,1.34
altitude_violation_rate_hz,1.34
tilt_violation_rate_hz,0.0
control_energy,41606.83308344278
control_energy_per_second,832.1366616688557
control_smoothness,112451.88216629757
control_smoothness_per_second,2249.037643325951
control_command_min,-21.51834232032645
control_command_max,22.92302414088875
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,83.75390917718543
robustness_score,0.0
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,35.62617275315563
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_robust_rotor_loss_ablation
