metric,value
altitude_violation_count,317
altitude_violation_rate_hz,6.34
constraint_violation_count,317
constraint_violation_rate_hz,6.34
control_command_max,19.68200207521279
control_command_min,-19.682001033268225
control_command_normalized,False
control_energy,39941.84765952706
control_energy_per_second,798.8369531905413
control_smoothness,13847.566947524863
control_smoothness_per_second,276.95133895049725
controller_id,enhanced_pid
disturbance_peak_error_m,0.696233508221103
disturbance_recovery_time_s,3.242000000000001
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,50.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_robust_wind_gust_ablation
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:47
max_position_error_m,1.2973546103337443
max_tilt_rad,0.19660556550344221
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,4.856261011531302
overshoot_x_pct,4.841966096682153
overshoot_y_pct,4.856261011531302
overshoot_z_pct,1.9393514096863385
pitch_rmse_rad,0.04977027852507028
position_rmse_m,0.3182596263794641
raw_file,results/raw/robust_wind_gust_example1_enhanced_pid.csv
robustness_score,71.16923076923077
roll_rmse_rad,0.030625150467938882
row_count,25001
safety_score,35.0
sample_rate_hz,500.0
saturation_ratio,
scene_id,robust_wind_gust_example1
settling_time_s,5.748
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.10320677237206322
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,55.0044691639923
tracking_score,89.0405382389487
valid,True
x_rmse_m,0.19493753931656624
y_rmse_m,0.131176022730809
yaw_rmse_rad,0.0021197505479003463
z_rmse_m,0.21466577884917987
