metric,value
generated_at,2026-05-10T22:02:55
raw_file,results/raw/robust_wind_gust_example1_l1_residual_sysblock.csv
scene_id,robust_wind_gust_example1
controller_id,l1_residual_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.2870240496171749
x_rmse_m,0.16348951658842337
y_rmse_m,0.1121313296947923
z_rmse_m,0.20755854095942108
max_position_error_m,1.2236573777972142
steady_state_error_m,0.08217222540083384
settling_time_s,5.72
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.5836311696658653
disturbance_recovery_time_s,2.960000000000001
overshoot_x_pct,4.425491183208461
overshoot_y_pct,4.448968910888063
overshoot_z_pct,1.9221369621574762
overshoot_max_pct,4.448968910888063
roll_rmse_rad,0.03147784001523941
pitch_rmse_rad,0.04990799836652726
yaw_rmse_rad,0.0020948330552664793
max_tilt_rad,0.19523674612947084
minimum_altitude_m,0.0
altitude_violation_count,60
tilt_violation_count,0
constraint_violation_count,60
constraint_violation_rate_hz,1.2
altitude_violation_rate_hz,1.2
tilt_violation_rate_hz,0.0
control_energy,39951.85042418822
control_energy_per_second,799.0370084837643
control_smoothness,13994.282091712528
control_smoothness_per_second,279.8856418342506
control_command_min,-19.812496394580617
control_command_max,19.81249617243378
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.40096191744892
robustness_score,71.38461538461539
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,55.46644242138852
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_residual_wind_ablation
