time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
0.002,4.340933246731921e-16,3.3130708160479373e-16,3.0965363727912487e-07,0.0,0.0,0.004,1.3889152673702613e-14,-1.8167382950797026e-14,-4.260657661219471e-15,1.482063104444012,-1.4820631044418446,1.4820631044446884,-1.4820631044469161
0.004,9.226333551220673e-16,6.99203773892825e-16,6.219303770607892e-07,0.0,0.0,0.008,2.939840138016067e-14,-3.85718168241183e-14,8.266514476610533e-15,2.701324982959497,-2.701324982955049,2.701324982960858,-2.7013249829651893
0.006,1.4131680379165761e-15,1.0681923008511759e-15,9.371387058498967e-07,0.0,0.0,0.012,4.49212464192425e-14,-5.971006422244016e-14,3.00962779767051e-14,3.7054327028698957,-3.705432702863351,3.7054327028720166,-3.7054327028781353
0.008,1.908603071380785e-15,1.4407612437295387e-15,1.260883551152626e-06,0.0,0.0,0.016,6.044745672960877e-14,-8.308418588501413e-14,1.6786652144979177e-14,4.533393275013943,-4.5333932750057775,4.533393275017176,-4.533393275025105
0.01,2.4047592896107368e-15,1.8143735685435435e-15,1.5989047436269628e-06,0.0,0.0,0.02,7.619924976347365e-14,-1.0671291707597728e-13,3.2885615844988093e-14,5.217143301984603,-5.217143301974756,5.217143301988797,-5.2171433019981786
0.012,2.900545847453746e-15,2.1878039431748143e-15,1.9556660042111447e-06,0.0,0.0,0.024,9.190505491926329e-14,-1.3030072662700545e-13,5.772046238296065e-14,5.782830818376537,-5.782830818365134,5.782830818381565,-5.782830818392152
0.014,3.387458785935799e-15,2.555041704677973e-15,2.3309485766692268e-06,0.0,0.0,0.028000000000000004,1.0741149406500227e-13,-1.5370353571370187e-13,6.081284399931926e-14,6.251865688741236,-6.251865688728609,6.251865688746997,-6.251865688758764
0.016,3.851157703422367e-15,2.9056810110671676e-15,2.7189871773483636e-06,0.0,0.0,0.032,1.2284495547455374e-13,-1.7716504496334151e-13,-4.163695309886947e-14,6.641778892735407,-6.641778892722416,6.641778892741845,-6.641778892755425
0.018000000000000002,4.2702003862857855e-15,3.2263176801671832e-15,3.113636233862392e-06,0.0,0.0,0.036000000000000004,1.3691746514993742e-13,-1.985595795433975e-13,-1.1371892095011333e-13,6.966923703668335,-6.966923703655106,6.966923703675247,-6.966923703690084
0.02,4.640046276104301e-15,3.5134801246807823e-15,3.5122253992106846e-06,0.0,0.0,0.04,1.4972515058908948e-13,-2.1809839061484468e-13,-2.004878332986522e-13,7.239050296174846,-7.239050296161751,7.239050296182087,-7.239050296198017
0.022,4.962295896344641e-15,3.767995039712148e-15,3.9149811665452185e-06,0.0,0.0,0.044,1.6151731762281697e-13,-2.361936078836066e-13,-3.407224592288303e-13,7.467777840660714,-7.467777840648319,7.467777840668184,-7.467777840685398
0.024,5.235180152533041e-15,3.990098852852228e-15,4.322589284672132e-06,0.0,0.0,0.048,1.7191224698298325e-13,-2.521383427098662e-13,-4.587345379700163e-13,7.660981693254874,-7.660981693243264,7.660981693262426,-7.660981693280522
0.026000000000000002,5.458534854180935e-15,4.1794441919098464e-15,4.734684165399043e-06,0.0,0.0,0.052000000000000005,1.8102910440090996e-13,-2.66134483046707e-13,-5.775025394739172e-13,7.825110043780079,-7.825110043769446,7.825110043787602,-7.825110043806401
0.028,5.634532555645226e-15,4.335713413336359e-15,5.149978961200507e-06,0.0,0.0,0.05600000000000001,1.894909430805662e-13,-2.7928970411730957e-13,-8.145783107555525e-13,7.9654425599684675,-7.965442559959686,7.965442559975964,-7.965442559996263
0.03,5.760008298290026e-15,4.457591813224114e-15,5.567197002327305e-06,0.0,0.0,0.06,1.9697273924828705e-13,-2.91072594749174e-13,-1.1203836933001125e-12,8.08630186020908,-8.086301860202738,8.086301860216503,-8.086301860238686
