metric,value
generated_at,2026-05-11T15:14:08
raw_file,results/robustness/wind_gust_example1/robust_wind_gust_example1_l1_residual_sysblock/raw/robust_wind_gust_example1_l1_residual_sysblock.csv
scene_id,robust_wind_gust_example1
controller_id,l1_residual_sysblock
row_count,5001
duration_s,50.0
sample_rate_hz,100.0
position_rmse_m,0.27823104481251776
x_rmse_m,0.1524570045055363
y_rmse_m,0.10530082368039045
z_rmse_m,0.20755990124996634
max_position_error_m,1.2236573765792844
steady_state_error_m,0.07480679206890724
settling_time_s,5.72
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,0.541738636520519
disturbance_recovery_time_s,2.8500000000000014
overshoot_x_pct,4.272386330169393
overshoot_y_pct,4.2946013769217295
overshoot_z_pct,1.9221292981557052
overshoot_max_pct,4.2946013769217295
roll_rmse_rad,0.03188725951644106
pitch_rmse_rad,0.05005535225806395
yaw_rmse_rad,0.0021228808539595933
max_tilt_rad,0.20498164652602058
minimum_altitude_m,0.0
altitude_violation_count,60
tilt_violation_count,0
constraint_violation_count,60
constraint_violation_rate_hz,1.2
altitude_violation_rate_hz,1.2
tilt_violation_rate_hz,0.0
control_energy,39952.665495306115
control_energy_per_second,799.0533099061223
control_smoothness,13996.534123006519
control_smoothness_per_second,279.93068246013036
control_command_min,-19.81252362242095
control_command_max,19.812524560344183
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,90.6386107037272
robustness_score,71.38461538461539
safety_score,35.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,35.0
total_health_score,55.537737057272004
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_l1_residual_wind_ablation
