time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-5.886708593015714e-17,2.083042738805501e-15,1.557417089813776e-06,0.0,0.0,0.02,8.572665626341905e-14,1.829415674664332e-15,2.775548184412296e-13,1.1028182614986894,-1.1028182614895503,1.1028182614913795,-1.102818261496594
0.02,-4.4824561710363175e-17,4.163206051581858e-15,3.1285112037067472e-06,0.0,0.0,0.04,1.678617134802177e-13,-5.195367642377284e-15,-1.384775274268066e-13,2.1004726455841753,-2.1004726455726472,2.1004726455721996,-2.1004726455856857
0.03,-7.64452131646914e-17,6.131600103779771e-15,4.724918559844167e-06,0.0,0.0,0.06,2.4322665972035245e-13,-4.4681055005197355e-15,2.116884669264629e-12,3.0052984518489607,-3.0052984518177,3.0052984518330264,-3.005298451834354
0.04,-1.3940587793015765e-16,8.133574192826144e-15,6.355479843560274e-06,0.0,0.0,0.08,2.9035012175230826e-13,2.4561271926043332e-15,3.2391667683439684e-12,3.8281895982144327,-3.8281895981745393,3.8281895981971426,-3.8281895981912344
0.05,-1.4732566626844205e-16,9.729893930634921e-15,8.026404129430911e-06,0.0,0.0,0.1,3.466921277897907e-13,2.9689741531602255e-15,3.960600598934183e-12,4.578767587657425,-4.57876758761109,4.578767587638751,-4.578767587629084
0.06,-7.261218527182891e-17,1.066151715496329e-14,9.741839253284187e-06,0.0,0.0,0.12,4.2272975109887543e-13,-7.95703978399781e-15,3.9932219898425995e-12,5.265530626175416,-5.265530626125396,5.265530626154349,-5.265530626147904
0.07,2.963971159578117e-18,1.0897927855697667e-14,1.1504370818695174e-05,0.0,0.0,0.14,4.905581496096738e-13,-2.5463304878564804e-14,4.588288138165112e-12,5.896003518280987,-5.896003518224558,5.89600351825906,-5.896003518250613
0.08,-1.3294594609137958e-16,1.0390147134045464e-14,1.3315421036301319e-05,0.0,0.0,0.16,5.460583145342341e-13,-1.1944420396046329e-14,3.5010547343729267e-12,6.476885542252,-6.476885542202224,6.476885542227386,-6.476885542227656
0.09,-5.451764787779743e-16,8.827175142026056e-15,1.5175547819291615e-05,0.0,0.0,0.18,5.872204244724248e-13,3.2438158334565776e-14,2.4642808826577822e-12,7.013908501881627,-7.013908501839405,7.013908501853481,-7.0139085018608585
0.1,-4.408064385798661e-16,6.44949576646877e-15,1.708469114129351e-05,0.0,0.0,0.2,5.623615268332805e-13,2.7693234493635535e-14,1.3356727880308782e-12,7.512175402833289,-7.5121754028046155,7.512175402811948,-7.512175402821736
0.11,-2.176025457607832e-17,3.218002460980063e-15,1.904241105102498e-05,0.0,0.0,0.22000000000000003,5.008541681025157e-13,5.80475867292696e-15,-1.0703426552833677e-13,7.9763840865707545,-7.976384086559486,7.976384086558939,-7.976384086571722
0.12,4.380825349762491e-16,-7.492633756802316e-16,2.1047981713007053e-05,0.0,0.0,0.24,4.0952891522168736e-13,-1.5816906872654418e-14,-2.6299575253664168e-12,8.410563363580271,-8.410563363594878,8.410563363578234,-8.410563363600815
0.13,7.101498398847882e-16,-4.965455841492808e-15,2.310053161776612e-05,0.0,0.0,0.26,3.1350497652833954e-13,-3.142987619265938e-14,-5.2811145551352735e-12,8.818309743023717,-8.818309743063702,8.818309743029149,-8.818309743063837
0.14,8.1417294805191e-16,-8.877112410475144e-15,2.5199092269206917e-05,0.0,0.0,0.28,2.3874923987213224e-13,-3.8514040724398716e-14,-7.439599912288963e-12,9.20276125730463,-9.202761257363369,9.202761257313545,-9.20276125736
0.15,7.209987816590637e-16,-1.2228626454049736e-14,2.7342680186376563e-05,0.0,0.0,0.3,1.9731771035306648e-13,-3.6925874767412804e-14,-8.737928673514729e-12,9.566701969963844,-9.56670197003181,9.566701969972113,-9.566701970027706
0.16,3.3674016242821617e-16,-1.5049382130851524e-14,2.9530336571189844e-05,0.0,0.0,0.32,1.8804932768957345e-13,-2.7513239091670833e-14,-9.046592037046448e-12,9.912592413409294,-9.912592413477018,9.912592413413993,-9.91259241347419
0.17,-2.3097483226342535e-16,-1.7694358402910237e-14,3.1761161463070666e-05,0.0,0.0,0.34,1.8692984455953724e-13,-1.8269086101192734e-14,-9.560600793982954e-12,10.242622188026882,-10.242622188095966,10.242622188028497,-10.242622188094598
0.18,-8.160821230499181e-16,-2.028689985100004e-14,3.4034317678341627e-05,0.0,0.0,0.36,1.9102659879602824e-13,-9.48222907998976e-15,-1.0278568265776888e-11,10.558721837916178,-10.558721837988292,10.55872183791516,-10.558721837988385
0.19,-1.4979217654607762e-15,-2.3122663561737028e-14,3.634905302660287e-05,0.0,0.0,0.38,1.8446502823380397e-13,-1.2970034213500393e-15,-1.1720466631285469e-11,10.862593314272287,-10.862593314354003,10.86259331427029,-10.862593314354301
0.2,-2.2452925155394174e-15,-2.6241043335643016e-14,3.870470868740286e-05,0.0,0.0,0.4,1.6655705273853855e-13,6.119845847418152e-15,-1.3764394607803247e-11,11.155744075506213,-11.155744075602936,11.155744075504526,-11.155744075602428
0.21,-3.1112454433872392e-15,-2.963360177701248e-14,4.1100721888693526e-05,0.0,0.0,0.42000000000000004,1.374387233144308e-13,1.3571136779734908e-14,-1.6422150480736037e-11,11.439512019992755,-11.439512020109731,11.439512019992303,-11.439512020107532
0.22,-4.35568756565526e-15,-3.3322274363862425e-14,4.353662539163341e-05,0.0,0.0,0.44000000000000006,9.403354824418909e-14,2.6515942108642345e-14,-2.0033534006523504e-11,11.715070702850149,-11.715070702995027,11.715070702851433,-11.715070702989829
0.23,-6.620196977876797e-15,-3.7525184277233056e-14,4.601205005724e-05,0.0,0.0,0.4600000000000001,1.953082272782234e-14,5.881427706403282e-14,-2.5903797844748216e-11,11.983466518759291,-11.983466518950122,11.983466518763025,-11.983466518938473
0.24,-9.102516891317772e-15,-4.146280813708813e-14,4.852671742514053e-05,0.0,0.0,0.48,-4.865077130788491e-14,9.018672796401705e-14,-3.2765008572188367e-11,12.245623627852174,-12.245623628094798,12.245623627857544,-12.24562362807822
0.25,-1.0866023322183335e-14,-4.431383515637685e-14,5.1080439698753114e-05,0.0,0.0,0.5,-7.034179591841194e-14,9.761961036968132e-14,-3.914985207030189e-11,12.502355774161552,-12.502355774448185,12.50235577416637,-12.502355774433314
0.26,-1.206203426030803e-14,-4.626662039297113e-14,5.3673110709590305e-05,0.0,0.0,0.52,-5.439656343862625e-14,8.624519293605442e-14,-4.5250167602749825e-11,12.754395992113102,-12.75439599243894,12.754395992115956,-12.75439599242996
0.27,-1.2471094467727656e-14,-4.733008884762234e-14,5.630470634389265e-05,0.0,0.0,0.54,2.0245955503910358e-15,5.354972376264918e-14,-5.051051301564383e-11,13.002388869693856,-13.002388870050446,13.002388869693572,-13.002388870051199
0.28,-1.2711095167460998e-14,-4.829203963437326e-14,5.897527809043735e-05,0.0,0.0,0.56,6.484584993306578e-14,1.932660345844866e-14,-5.555351715581439e-11,13.246907922629964,-13.246907923016506,13.246907922626766,-13.24690792302575
0.29,-1.2649080983111928e-14,-4.931897813655018e-14,6.168494718856163e-05,0.0,0.0,0.58,1.3066445512421246e-13,-1.6922011308659335e-14,-5.989980746172945e-11,13.488458015946632,-13.488458016359289,13.488458015941102,-13.488458016375432
