metric,value
altitude_violation_count,64
altitude_violation_rate_hz,64.0
constraint_violation_count,64
constraint_violation_rate_hz,64.0
control_command_max,17.286109206337475
control_command_min,-17.286109208043655
control_command_normalized,False
control_energy,838.4119359156325
control_energy_per_second,838.4119359156325
control_smoothness,3113.9148237872078
control_smoothness_per_second,3113.9148237872078
controller_id,enhanced_pid
disturbance_peak_error_m,
disturbance_recovery_time_s,
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,1.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_smoke
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:44
max_position_error_m,1.297337528553519
max_tilt_rad,4.47325859549763e-11
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,0.0
overshoot_x_pct,
overshoot_y_pct,
overshoot_z_pct,0.0
pitch_rmse_rad,2.4119262535395313e-13
position_rmse_m,0.9530974934578416
raw_file,results/raw/mworks_mcp_example1_enhanced_pid_smoke.csv
robustness_score,0.0
roll_rmse_rad,1.766106317774992e-11
row_count,101
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,mworks_mcp_example1
settling_time_s,
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.8552998834194756
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,28.841603933881085
tracking_score,61.13867977960362
valid,True
x_rmse_m,8.600768464115899e-14
y_rmse_m,6.703790275150131e-12
yaw_rmse_rad,2.7484244898073984e-10
z_rmse_m,0.9530974934578416
