metric,value
altitude_violation_count,64
altitude_violation_rate_hz,6.4
constraint_violation_count,64
constraint_violation_rate_hz,6.4
control_command_max,17.27806381942603
control_command_min,-17.27806382228684
control_command_normalized,False
control_energy,7862.069478052295
control_energy_per_second,786.2069478052296
control_smoothness,5763.770723670386
control_smoothness_per_second,576.3770723670386
controller_id,awff_sysblock
disturbance_peak_error_m,
disturbance_recovery_time_s,
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,10.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_closed_loop_10s
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:45
max_position_error_m,1.2971645328538624
max_tilt_rad,8.818580603241416e-09
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,3.5367559247790936
overshoot_x_pct,
overshoot_y_pct,
overshoot_z_pct,3.5367559247790936
pitch_rmse_rad,1.542110078196501e-09
position_rmse_m,0.47318966220950737
raw_file,results/raw/official_example1_awff_sysblock_10s.csv
robustness_score,71.15384615384616
roll_rmse_rad,5.528325987045803e-11
row_count,1001
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,official_example1_awff_sysblock_10s
settling_time_s,5.75
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.07395312885301163
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,53.75854081876204
tracking_score,84.90026426766836
valid,True
x_rmse_m,1.8903025333546163e-10
y_rmse_m,2.6420896944128427e-11
yaw_rmse_rad,6.5024282356943134e-09
z_rmse_m,0.47318966220950737
