time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,-2.43765732744638e-15,-3.955476534429904e-15,1.5574128926404883e-06,0.0,0.0,0.02,-1.6277782571855898e-13,1.027728081086513e-13,3.1077344693714555e-13,1.1005390636331218,-1.1005390636446026,1.1005390636381398,-1.1005390636222645
0.02,-4.936028233761914e-15,-8.040150745103213e-15,3.128391371363691e-06,0.0,0.0,0.04,-3.2760066212821596e-13,2.0496166122191913e-13,9.590111245139627e-13,2.0918300670341705,-2.0918300670520003,2.091830067043409,-2.091830067012018
0.03,-7.348556427776393e-15,-1.1941467276524605e-14,4.724280094875138e-06,0.0,0.0,0.06,-4.889557165592538e-13,3.040621958058035e-13,1.5354637883446564e-12,2.986850344254991,-2.9868503442772703,2.9868503442675465,-2.9868503442235568
0.04,-9.57554203757025e-15,-1.5664380504729606e-14,6.353528435190023e-06,0.0,0.0,0.08,-6.447870812956326e-13,4.0297085224263743e-13,1.5315731345893254e-12,3.79705250863324,-3.797052508662083,3.797052508648057,-3.797052508597557
0.05,-1.1390985130289907e-14,-1.8707864942704943e-14,8.021905751383072e-06,0.0,0.0,0.1,-7.673093231299127e-13,4.806273922028017e-13,2.0737003531881877e-12,4.532543593935406,-4.532543593963455,4.532543593951294,-4.532543593893921
0.06,-1.2652354612402271e-14,-2.0836251503993573e-14,9.733105150263462e-06,0.0,0.0,0.12,-8.427830694667875e-13,5.288427995967708e-13,3.1297409762817403e-12,5.202243133834494,-5.202243133853737,5.2022431338498345,-5.202243133786339
0.07,-1.3316144520761393e-14,-2.1896372305233035e-14,1.1489264540911534e-05,0.0,0.0,0.14,-8.767751691251996e-13,5.431587020612804e-13,4.1515051165911795e-12,5.814050811460772,-5.8140508114687695,5.814050811475198,-5.814050811408499
0.08,-1.3228670677279057e-14,-2.1638421743652237e-14,1.3291374314137781e-05,0.0,0.0,0.16,-8.652839656985118e-13,5.474376630562488e-13,5.4506173082111e-12,6.374918014992503,-6.374918014984865,6.374918015003423,-6.374918014933988
0.09,-1.25151082056859e-14,-2.0049477814625932e-14,1.5139596069474958e-05,0.0,0.0,0.18,-8.20946523245854e-13,5.365339605504033e-13,6.549015660941654e-12,6.890865144959117,-6.890865144936317,6.890865144965963,-6.890865144896159
0.1,-1.1151211050435975e-14,-1.7367321072137337e-14,1.7033524898274786e-05,0.0,0.0,0.2,-7.35836561199121e-13,5.146535679145651e-13,7.668205469754912e-12,7.36737354094918,-7.3673735409094485,7.367373540950333,-7.367373540881636
0.11,-9.228061857790362e-15,-1.4117225377688418e-14,1.8972381795572175e-05,0.0,0.0,0.22000000000000003,-6.330404372669034e-13,4.790874882911789e-13,8.905023526339241e-12,7.809215848247363,-7.809215848190431,7.809215848243732,-7.809215848174746
