metric,value
generated_at,2026-05-12T08:12:44
raw_file,results/smoke/example1_step/linear_mpc_sysblock_smoke/raw/smoke_example1_linear_mpc_sysblock.csv
scene_id,official_example1_smoke
controller_id,linear_mpc_sysblock
row_count,6
duration_s,0.05
sample_rate_hz,100.0
position_rmse_m,0.060548207064882696
x_rmse_m,3.0154900039952713e-15
y_rmse_m,2.1502885861371985e-15
z_rmse_m,0.060548207064882696
max_position_error_m,0.09999201688344575
steady_state_error_m,0.049996047884776164
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,8.344039884388453e-14
pitch_rmse_rad,1.046173054660879e-13
yaw_rmse_rad,1.936337539661901e-13
max_tilt_rad,2.1917200104241515e-13
minimum_altitude_m,0.0
altitude_violation_count,6
tilt_violation_count,0
constraint_violation_count,6
constraint_violation_rate_hz,120.0
altitude_violation_rate_hz,120.0
tilt_violation_rate_hz,0.0
control_energy,1.3704960310916707
control_energy_per_second,27.409920621833415
control_smoothness,1161.2222557122943
control_smoothness_per_second,23224.445114245886
control_command_min,-4.24163619198141
control_command_max,4.241636191974014
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,False
tracking_score,100.0
robustness_score,0.0
safety_score,43.0
energy_score,44.91621949045666
smoothness_score,0.0
fault_tolerance_score,43.0
total_health_score,47.391621949045664
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_sysblock_linear_mpc_smoke
