time,x,y,z,x_ref,y_ref,z_ref,roll,pitch,yaw,u1,u2,u3,u4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0
0.01,6.453770117601989e-16,1.1377268937495938e-16,1.5554979805363123e-06,0.0,0.0,0.0013333333333333335,4.951736747386951e-15,-2.727183052090569e-14,-1.4360163597381014e-15,0.07328937952370788,-0.07328937952333325,0.07328937952564302,-0.07328937952603795
0.02,1.836640492892046e-15,6.164048012439812e-16,3.1062583404622177e-06,0.0,0.0,0.002666666666666667,2.6385923418482923e-14,-6.988038266581164e-14,-5.662958032053469e-13,0.13930380443069415,-0.13930380443255616,0.1393038044339561,-0.13930380444010146
0.03,2.964744384985115e-15,1.2315776447245667e-15,4.649834906293041e-06,0.0,0.0,0.004,5.842463735982393e-14,-1.0806596438253209e-13,-1.2114558956127223e-12,0.19890762473274365,-0.1989076247367957,0.1989076247356579,-0.19890762474873577
0.04,4.230172399357418e-15,1.6524993706409604e-15,6.186305233810758e-06,0.0,0.0,0.005333333333333334,7.573167245013948e-14,-1.5613524152050042e-13,-1.606933697493037e-12,0.2528634985923387,-0.2528634985986748,0.2528634985973281,-0.2528634986137141
0.05,5.478270444331696e-15,2.469180934204937e-15,7.71573472425464e-06,0.0,0.0,0.006666666666666667,1.1933635005240635e-13,-1.9748358398810084e-13,-2.366271068020742e-12,0.3018444701112441,-0.3018444701202956,0.3018444701151545,-0.30184447013956206
0.06,6.799581100635052e-15,3.062723025539999e-15,9.238179356713387e-06,0.0,0.0,0.008,1.5036088710656473e-13,-2.4328052292609735e-13,-2.6463235740882778e-12,0.3464450525509386,-0.3464450525608203,0.34644505255539876,-0.34644505258293606
0.07,8.33478878748657e-15,3.9549743800978555e-15,1.0753688419411932e-05,0.0,0.0,0.009333333333333334,1.9642603920285768e-13,-2.9708255928739e-13,-2.4896319620308348e-12,0.38719455553993826,-0.3871945555463429,0.3871945555442467,-0.38719455557304544
0.08,1.0472903940325247e-14,5.43579046196314e-15,1.2262304742657492e-05,0.0,0.0,0.010666666666666668,2.646424320745873e-13,-3.779067289003403e-13,-2.3894200598981375e-12,0.42454856097837196,-0.4245485609803065,0.4245485609830994,-0.42454856101495136
0.09,1.53622814784662e-14,1.007699278155789e-14,1.376406968497338e-05,0.0,0.0,0.011999999999999999,4.70820972196337e-13,-5.818039908831897e-13,-2.7161190227082503e-12,0.4589323268690786,-0.45893232685854174,0.45893232687290014,-0.458932326921843
0.1,2.1670133695254644e-14,1.6316652409851535e-14,1.5259016611340945e-05,0.0,0.0,0.013333333333333334,7.472647236726702e-13,-8.481478986915392e-13,-3.170728513770133e-12,0.490671271025255,-0.49067127100014524,0.4906712710277545,-0.4906712710976984
0.11,2.842743352659395e-14,2.2908742033297443e-14,1.6747181056408958e-05,0.0,0.0,0.014666666666666668,1.037687556229384e-12,-1.135388492516478e-12,-3.676563905243648e-12,0.5200934457143132,-0.5200934456771814,0.5200934457163776,-0.5200934458054961
0.12,3.5098727306480646e-14,2.9151878158830407e-14,1.8228597332847806e-05,0.0,0.0,0.016,1.3111415118093697e-12,-1.4167630179371014e-12,-4.107176510458462e-12,0.5474889578161545,-0.5474889577707454,0.5474889578188467,-0.5474889579223312
0.13,4.171662895699915e-14,3.504702419021483e-14,1.970329835904291e-05,0.0,0.0,0.017333333333333333,1.5675569356431803e-12,-1.692280721407792e-12,-4.426745609535122e-12,0.5731086527711933,-0.5731086527198044,0.5731086527753402,-0.5731086528893234
0.14,4.8755873301213325e-14,4.112522200066424e-14,2.1171316417289483e-05,0.0,0.0,0.018666666666666668,1.829603586075592e-12,-1.9842509193841548e-12,-4.713543884670473e-12,0.5971699103021937,-0.5971699102450191,0.5971699103084146,-0.5971699104322389
0.15,5.6724448277679093e-14,4.8120206339083254e-14,2.2632683588177908e-05,0.0,0.0,0.02,2.1296724818754768e-12,-2.31526537300348e-12,-5.065251442344215e-12,0.619865180536173,-0.6198651804711779,0.6198651805442075,-0.6198651806808253
0.16,6.618862021045247e-14,5.663170540604323e-14,2.4087431749915105e-05,0.0,0.0,0.021333333333333336,2.495872130952428e-12,-2.7133425441568463e-12,-5.856428033384556e-12,0.6413614308181145,-0.6413614307438598,0.6413614308276727,-0.6413614309847371
0.17,7.749710525453611e-14,6.606495810159232e-14,2.5535592923403892e-05,0.0,0.0,0.02266666666666667,2.9083887259159967e-12,-3.2057323330189377e-12,-8.246445969948855e-12,0.6618065292897054,-0.6618065292153154,0.6618065293042891,-0.6618065294952836
0.18,9.080853076708873e-14,7.729726000788041e-14,2.6977199457425957e-05,0.0,0.0,0.023999999999999997,3.39785915016557e-12,-3.783886251568883e-12,-1.0726461983642643e-11,0.6813341179510755,-0.6813341178732153,0.6813341179707293,-0.6813341182002619
0.19,1.0608998423020223e-13,9.084092895206504e-14,2.84122840557638e-05,0.0,0.0,0.025333333333333333,3.977582984309063e-12,-4.429102103645612e-12,-1.1552371341354897e-11,0.7000640554499675,-0.7000640553526807,0.7000640554718918,-0.7000640557325288
0.2,1.2368453225388417e-13,1.0659505087805017e-13,2.984087948194734e-05,0.0,0.0,0.02666666666666667,4.644817897987011e-12,-5.161243876902152e-12,-1.1175298500716134e-11,0.71809891995306,-0.7180989198244397,0.7180989199768916,-0.7180989202635307
0.21,1.4386502005938826e-13,1.249547568915178e-13,3.126301888531503e-05,0.0,0.0,0.028,5.413046612346527e-12,-5.9861772399875606e-12,-8.981487140902595e-12,0.7355313408248392,-0.7355313406479891,0.7355313408497828,-0.7355313411536313
0.22,1.672185079797317e-13,1.4622936780190853e-13,3.267873552592248e-05,0.0,0.0,0.029333333333333336,6.29757185611092e-12,-6.933666277761725e-12,-5.4152436853568e-12,0.7524409608246323,-0.752440960584789,0.7524409608511329,-0.7524409611675478
0.23,1.9427321469055213e-13,1.7055638878599831e-13,3.408806293437179e-05,0.0,0.0,0.030666666666666672,7.310084912798007e-12,-8.037011063026001e-12,-1.727676248385192e-12,0.7688985455588491,-0.768898545249764,0.7688985455890632,-0.7688985459225778
0.24,2.2580338956256591e-13,1.9808284289299484e-13,3.5491034803506414e-05,0.0,0.0,0.032,8.467714090844177e-12,-9.348680967192899e-12,-1.2704132074315236e-13,0.7849656377772032,-0.7849656374074254,0.7849656378157923,-0.7849656381873664
0.25,2.624537846339822e-13,2.300828220000105e-13,3.6887685070919726e-05,0.0,0.0,0.03333333333333333,9.817232915844768e-12,-1.0882487629770542e-11,8.664461987208204e-13,0.8006972802282614,-0.8006972797930579,0.8006972802766931,-0.800697280699645
0.26,3.0497328920361406e-13,2.679006672486821e-13,3.827804784439851e-05,0.0,0.0,0.034666666666666665,1.1411050730501558e-11,-1.2660340062563918e-11,2.2413306437107916e-12,0.8161424537124802,-0.8161424531972189,0.8161424537688869,-0.8161424542524557
0.27,3.5425187718769294e-13,3.122653463737905e-13,3.966215738537319e-05,0.0,0.0,0.036000000000000004,1.3279136016359323e-11,-1.4718841601146232e-11,4.176745265357052e-12,0.8313436901627305,-0.8313436895508624,0.8313436902265288,-0.8313436907793379
0.28,4.111358458356389e-13,3.6464580527177463e-13,4.1040048140768465e-05,0.0,0.0,0.037333333333333336,1.547209358972013e-11,-1.7072372799957283e-11,9.068616997803086e-12,0.8463403855139132,-0.8463403847702187,0.846340385582131,-0.8463403861975953
0.29,4.768527260205089e-13,4.2515789078440046e-13,4.241175459185476e-05,0.0,0.0,0.03866666666666667,1.8005333556796578e-11,-1.979274264268407e-11,1.4764182618626466e-11,0.8611651860460271,-0.861165185150724,0.8611651861199603,-0.8611651868064976
0.3,5.526667517714026e-13,4.938891210907063e-13,4.377731136158826e-05,0.0,0.0,0.04,2.088858394706192e-11,-2.294612674791887e-11,1.999291395665265e-11,0.8758487291035616,-0.8758487280472578,0.875848729189882,-0.8758487299634861
0.31,6.401188544512281e-13,5.724748587434927e-13,4.513675309345526e-05,0.0,0.0,0.04133333333333333,2.418883773016029e-11,-2.6593438114893306e-11,2.525128880345096e-11,0.8904166581104863,-0.8904166568764708,0.8904166582140737,-0.8904166590910357
0.32,7.410121399640076e-13,6.622924319306488e-13,4.6490114460248026e-05,0.0,0.0,0.04266666666666667,2.7968152350599104e-11,-3.0818122407571196e-11,2.979560047764225e-11,0.9048917906844334,-0.9048917892575551,0.9048917908101412,-0.9048917918157094
0.33,8.573848653138651e-13,7.65085036740094e-13,4.783743016898933e-05,0.0,0.0,0.044000000000000004,3.230231971228917e-11,-3.57101291541045e-11,3.3254149013291396e-11,0.9192942741148424,-0.9192942724788532,0.9192942742677951,-0.9192942754335706
0.34,9.91509568949521e-13,8.834984266229276e-13,4.917873495105258e-05,0.0,0.0,0.04533333333333334,3.729793712527946e-11,-4.135491207868368e-11,3.680755812338171e-11,0.9336417878621116,-0.9336417859880337,0.9336417880463226,-0.9336417893999414
0.35000000000000003,1.1460306928208497e-12,1.020887359338908e-12,5.0514063483279714e-05,0.0,0.0,0.046666666666666676,4.3091557047703245e-11,-4.785285406848058e-11,4.168085035899264e-11,0.9479500917662458,-0.9479500896090791,0.947950091981874,-0.9479500935496734
0.36,1.324157324328048e-12,1.1792133504163753e-12,5.1843450486143036e-05,0.0,0.0,0.047999999999999994,4.9776212766967776e-11,-5.5357753568616056e-11,4.592385018570624e-11,0.9622328725378037,-0.9622328700629829,0.962232872789048,-0.9622328746145056
0.37,1.5293736593902273e-12,1.362266417371704e-12,5.316693059786215e-05,0.0,0.0,0.04933333333333333,5.750940396728694e-11,-6.400955733687228e-11,5.0299712039456036e-11,0.9765029142030899,-0.9765029113637312,0.9765029144927432,-0.976502916620864
0.38,1.765646208456426e-12,1.5737327096685979e-12,5.4484538432411614e-05,0.0,0.0,0.050666666666666665,6.644788043644491e-11,-7.397622223326306e-11,5.4821652361880915e-11,0.9907712406946008,-0.9907712374374824,0.9907712410261802,-0.9907712435081204
0.39,2.0373892315308826e-12,1.817615056063732e-12,5.5796308561758134e-05,0.0,0.0,0.052000000000000005,7.676078031654888e-11,-8.544400404352879e-11,5.969968792249614e-11,1.005047026663036,-1.0050470229269448,1.0050470270410476,-1.005047029932986
0.4,2.34959138676815e-12,2.098141110198473e-12,5.7102275473469885e-05,0.0,0.0,0.05333333333333334,8.862974443512051e-11,-9.862815587704545e-11,6.45822805305313e-11,1.019339624159661,-1.0193396198797633,1.01933962459154,-1.0193396279582447
0.41000000000000003,2.70779053848119e-12,2.4202437411752943e-12,5.840247356203119e-05,0.0,0.0,0.054666666666666676,1.0226378324493395e-10,-1.1376496526178045e-10,6.967797024198688e-11,1.0336566581159055,-1.033656653216813,1.0336566586095606,-1.0336566625234067
0.42,3.1179474640928516e-12,2.788987458931155e-12,5.969693719699258e-05,0.0,0.0,0.056,1.1787897082186962e-10,-1.3111080030995346e-10,7.48871179895341e-11,1.048004565477137,-1.0480045598761383,1.048004566042948,-1.0480045705850427
0.43,3.5870494322874287e-12,3.210340216952706e-12,6.098570067120987e-05,0.0,0.0,0.05733333333333333,1.357304029478064e-10,-1.509656732648765e-10,8.007774443411752e-11,1.0623888733247109,-1.0623888669300705,1.0623888739756928,-1.0623888792380336
0.44,4.128174813582657e-12,3.696765413227324e-12,6.22687980826471e-05,0.0,0.0,0.05866666666666667,1.5635284648610896e-10,-1.738774091230592e-10,8.531389897030233e-11,1.0768155133229214,-1.0768155060152018,1.0768155140709827,-1.0768155201723635
0.45,4.750552360965798e-12,4.256321517246931e-12,6.354626357174942e-05,0.0,0.0,0.06,1.800912467081763e-10,-2.0024023821488384e-10,9.048834032771451e-11,1.0912880149753157,-1.0912880066210209,1.0912880158347085,-1.0912880229094986
0.46,5.4662110107408394e-12,4.899911796749598e-12,6.481813115143136e-05,0.0,0.0,0.061333333333333344,2.0741299353542892e-10,-2.305641662819349e-10,9.554587860342297e-11,1.105809621144065,-1.1058096115886333,1.1058096221303813,-1.1058096303347948
0.47000000000000003,6.289413840094936e-12,5.640370092131488e-12,6.608443456459664e-05,0.0,0.0,0.06266666666666666,2.3886698986643577e-10,-2.6546062081156076e-10,1.0052892612065696e-10,1.1203857053336181,-1.1203856944039572,1.120385706465611,-1.1203857159737933
0.48,7.234534685421663e-12,6.490761687251881e-12,6.734520690482236e-05,0.0,0.0,0.064,2.750133779194928e-10,-3.055393385418742e-10,1.0539117102334673e-10,1.13501796239721,-1.1350179498952802,1.1350179636950637,-1.1350179747067628
0.49,8.307213498757196e-12,7.4556870953736e-12,6.860047797253079e-05,0.0,0.0,0.06533333333333334,3.1603782404552204e-10,-3.510606504763694e-10,1.1042056966601277e-10,1.1497073243440399,-1.149707310074172,1.14970732583114,-1.1497073385396614
0.5,9.531087756460248e-12,8.556667140386358e-12,6.985026512149551e-05,0.0,0.0,0.06666666666666667,3.62865706909976e-10,-4.030311934023182e-10,1.1545282320232701e-10,1.164458722677472,-1.164458706402842,1.1644587243807794,-1.1644587390229064
0.51,1.0925522676572975e-11,9.811480426645048e-12,7.109465216152874e-05,0.0,0.0,0.06799999999999999,4.1625870052204647e-10,-4.622797968779166e-10,1.2035244640176706e-10,1.1792737327114702,-1.179273714163294,1.1792737346599167,-1.179273751506309
0.52,1.2520166285089627e-11,1.1246683035988626e-11,7.233364814206718e-05,0.0,0.0,0.06933333333333333,4.773555220504157e-10,-5.300780527481765e-10,1.251410024107139e-10,1.1941549318261375,-1.1941549106880482,1.1941549340547004,-1.1941549534232965
0.53,1.4349369529473089e-11,1.2893198432049418e-11,7.356729262323518e-05,0.0,0.0,0.07066666666666667,5.474834816076807e-10,-6.079005991013494e-10,1.2991971771568754e-10,1.209104093204483,-1.209104069104931,1.2091040957541939,-1.2091041180166813
