metric,value
altitude_violation_count,70
altitude_violation_rate_hz,70.0
constraint_violation_count,70
constraint_violation_rate_hz,70.0
control_command_max,18.886501002319523
control_command_min,-18.886500994469156
control_command_normalized,False
control_energy,961.4268749438077
control_energy_per_second,961.4268749438077
control_smoothness,3239.3799431695547
control_smoothness_per_second,3239.3799431695547
controller_id,awff_sysblock
disturbance_peak_error_m,
disturbance_recovery_time_s,
disturbance_window_end_s,19.0
disturbance_window_start_s,15.0
duration_s,1.0
energy_score,0.0
evidence_level,real_sysplorer_mcp_sysblock_robust_mass20_smoke
fault_tolerance_score,35.0
generated_at,2026-05-10T21:50:46
max_position_error_m,1.4273548440272725
max_tilt_rad,3.5313363037692945e-12
minimum_altitude_m,0.0
nan_count,0
overshoot_max_pct,0.0
overshoot_x_pct,
overshoot_y_pct,
overshoot_z_pct,0.0
pitch_rmse_rad,6.218716347577045e-13
position_rmse_m,1.0094767971255725
raw_file,results/raw/robust_mass20_example1_awff_sysblock_smoke.csv
robustness_score,0.0
roll_rmse_rad,5.941658725161083e-13
row_count,101
safety_score,35.0
sample_rate_hz,100.0
saturation_ratio,
scene_id,robust_mass20_example1_smoke
settling_time_s,
smoothness_score,0.0
source,MWORKS_MCP
steady_state_error_m,0.8977458941645065
tilt_violation_count,0
tilt_violation_rate_hz,0.0
total_health_score,27.953593642558776
tracking_score,58.17864547519592
valid,True
x_rmse_m,2.8820271365385695e-13
y_rmse_m,3.0299107111496124e-13
yaw_rmse_rad,1.034395942586383e-09
z_rmse_m,1.0094767971255725
