metric,value
generated_at,2026-05-15T22:10:39
raw_file,results/system/geofence_breach/sunray150_complete_system_geofence_breach_sysblock/raw/sunray150_complete_system_geofence_breach_sysblock.csv
scene_id,system_geofence_breach
controller_id,awff_complete_system
row_count,101
duration_s,1.0
sample_rate_hz,100.0
position_rmse_m,1.8110969288131096
x_rmse_m,0.9213135714151094
y_rmse_m,1.0444408511070518
z_rmse_m,1.1577550247014223
max_position_error_m,3.746582877065753
steady_state_error_m,1.4567367868026213
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,0.829311435634189
pitch_rmse_rad,1.7736011233984668
yaw_rmse_rad,1.7740286264732528
max_tilt_rad,3.256756011238523
minimum_altitude_m,-0.00029725143136654226
altitude_violation_count,101
tilt_violation_count,67
constraint_violation_count,168
constraint_violation_rate_hz,168.0
altitude_violation_rate_hz,101.0
tilt_violation_rate_hz,67.0
control_energy,48863.52621800218
control_energy_per_second,48863.52621800218
control_smoothness,18631156.420571588
control_smoothness_per_second,18631156.420571588
control_command_min,-130.15917037669055
control_command_max,130.15917037669055
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,13.724069140516068
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,4.11722074215482
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_complete_system_geofence_breach
