metric,value
generated_at,2026-05-15T19:15:06
raw_file,results/system/gps_dropout/sunray150_complete_system_gps_dropout_sysblock/raw/sunray150_complete_system_gps_dropout_sysblock.csv
scene_id,system_gps_dropout
controller_id,awff_complete_system
row_count,101
duration_s,1.0
sample_rate_hz,100.0
position_rmse_m,2.2896559426174856
x_rmse_m,1.3517685127369965
y_rmse_m,1.5307144042913292
z_rmse_m,1.035451416548075
max_position_error_m,5.123907613482862
steady_state_error_m,1.7793962143675062
settling_time_s,nan
disturbance_window_start_s,15.0
disturbance_window_end_s,19.0
disturbance_peak_error_m,nan
disturbance_recovery_time_s,nan
overshoot_x_pct,nan
overshoot_y_pct,nan
overshoot_z_pct,0.0
overshoot_max_pct,0.0
roll_rmse_rad,0.7639752521905877
pitch_rmse_rad,1.732574090471411
yaw_rmse_rad,1.7771368266982908
max_tilt_rad,3.172598867311019
minimum_altitude_m,-6.627971745592786e-05
altitude_violation_count,101
tilt_violation_count,67
constraint_violation_count,168
constraint_violation_rate_hz,168.0
altitude_violation_rate_hz,101.0
tilt_violation_rate_hz,67.0
control_energy,42412.29461768188
control_energy_per_second,42412.29461768188
control_smoothness,20802836.461776704
control_smoothness_per_second,20802836.461776704
control_command_min,-130.15917037669055
control_command_max,130.15917037669055
control_command_normalized,False
saturation_ratio,nan
nan_count,0
valid,True
tracking_score,0.0
robustness_score,0.0
safety_score,0.0
energy_score,0.0
smoothness_score,0.0
fault_tolerance_score,0.0
total_health_score,0.0
source,MWORKS_MCP
evidence_level,real_sysplorer_mcp_complete_system_gps_dropout
