review_status,review_priority,group,scene,is_figure8,experiment_id,controller_or_case,quality_status,evidence_role,raw_exists,metrics_exists,figure_count,native_result_exists,raw_file,metrics_file,figure_dir,native_result_dir,notes,auto_quality_status,auto_quality_notes,auto_quality_checked_at
pending,high,official,official_example1_helical_figure8,yes,official_example1_helical_figure8_trail_sysblock,linear_mpc_sysblock,pass,pass_evidence,yes,yes,4,yes,results/official/example1_helical_figure8/official_example1_helical_figure8_trail_sysblock/raw/official_example1_helical_figure8_trail_sysblock.csv,results/official/example1_helical_figure8/official_example1_helical_figure8_trail_sysblock/metrics/official_example1_helical_figure8_trail_sysblock.json,results/official/example1_helical_figure8/official_example1_helical_figure8_trail_sysblock/figures,results/official/example1_helical_figure8/official_example1_helical_figure8_trail_sysblock/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example1_planar_figure8,yes,official_example1_planar_figure8_trail_sysblock,linear_mpc_sysblock,pass,pass_evidence,yes,yes,4,yes,results/official/example1_planar_figure8/official_example1_planar_figure8_trail_sysblock/raw/official_example1_planar_figure8_trail_sysblock.csv,results/official/example1_planar_figure8/official_example1_planar_figure8_trail_sysblock/metrics/official_example1_planar_figure8_trail_sysblock.json,results/official/example1_planar_figure8/official_example1_planar_figure8_trail_sysblock/figures,results/official/example1_planar_figure8/official_example1_planar_figure8_trail_sysblock/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_awff_indi_sysblock,awff_indi_sysblock,pass,pass_evidence,yes,yes,4,no,results/official/example3_figure8/official_example3_awff_indi_sysblock/raw/official_example3_awff_indi_sysblock.csv,results/official/example3_figure8/official_example3_awff_indi_sysblock/metrics/official_example3_awff_indi_sysblock.json,results/official/example3_figure8/official_example3_awff_indi_sysblock/figures,results/official/example3_figure8/official_example3_awff_indi_sysblock/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_awff_pid,awff_pid,pass,pass_evidence,yes,yes,4,no,results/official/example3_figure8/official_example3_awff_pid/raw/official_example3_awff_pid.csv,results/official/example3_figure8/official_example3_awff_pid/metrics/official_example3_awff_pid.json,results/official/example3_figure8/official_example3_awff_pid/figures,results/official/example3_figure8/official_example3_awff_pid/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_awff_sysblock,awff_sysblock,pass,pass_evidence,yes,yes,8,yes,results/official/example3_figure8/official_example3_awff_sysblock/raw/official_example3_awff_sysblock.csv,results/official/example3_figure8/official_example3_awff_sysblock/metrics/official_example3_awff_sysblock.json,results/official/example3_figure8/official_example3_awff_sysblock/figures,results/official/example3_figure8/official_example3_awff_sysblock/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_enhanced_pid,enhanced_pid,pass,pass_evidence,yes,yes,4,no,results/official/example3_figure8/official_example3_enhanced_pid/raw/official_example3_enhanced_pid.csv,results/official/example3_figure8/official_example3_enhanced_pid/metrics/official_example3_enhanced_pid.json,results/official/example3_figure8/official_example3_enhanced_pid/figures,results/official/example3_figure8/official_example3_enhanced_pid/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_improved_pid,improved_pid,pass,pass_evidence,yes,yes,4,no,results/official/example3_figure8/official_example3_improved_pid/raw/official_example3_improved_pid.csv,results/official/example3_figure8/official_example3_improved_pid/metrics/official_example3_improved_pid.json,results/official/example3_figure8/official_example3_improved_pid/figures,results/official/example3_figure8/official_example3_improved_pid/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_l1_residual_sysblock,l1_residual_sysblock,pass,pass_evidence,yes,yes,4,no,results/official/example3_figure8/official_example3_l1_residual_sysblock/raw/official_example3_l1_residual_sysblock.csv,results/official/example3_figure8/official_example3_l1_residual_sysblock/metrics/official_example3_l1_residual_sysblock.json,results/official/example3_figure8/official_example3_l1_residual_sysblock/figures,results/official/example3_figure8/official_example3_l1_residual_sysblock/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_linear_mpc_sysblock,linear_mpc_sysblock,pass,pass_evidence,yes,yes,4,yes,results/official/example3_figure8/official_example3_linear_mpc_sysblock/raw/official_example3_linear_mpc_sysblock.csv,results/official/example3_figure8/official_example3_linear_mpc_sysblock/metrics/official_example3_linear_mpc_sysblock.json,results/official/example3_figure8/official_example3_linear_mpc_sysblock/figures,results/official/example3_figure8/official_example3_linear_mpc_sysblock/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
pending,high,official,official_example3,yes,official_example3_pid_baseline,pid_baseline,pass,pass_evidence,yes,yes,4,no,results/official/example3_figure8/official_example3_pid_baseline/raw/official_example3_pid_baseline.csv,results/official/example3_figure8/official_example3_pid_baseline/metrics/official_example3_pid_baseline.json,results/official/example3_figure8/official_example3_pid_baseline/figures,results/official/example3_figure8/official_example3_pid_baseline/native_result,待人工审核 GUI 动画、曲线和图形化模型入口,pass,ok,2026-05-14
